Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop2,Pop2P,Hsp1,Hsp1P,WNH,WNHP,BNH,BNHP,ANH,ANHP,ONH,ONHP,TwoPlNH,TwoPlNHP
2020,NTA2020,Brooklyn,BK0504,,Spring Creek-Starrett City,,0,"17,038",100,"3,344",19.6,"2,595",15.2,"9,873",57.9,424,2.5,163,1,639,3.8
2020,NTA2020,Brooklyn,BK0505,,East New York-City Line,,0,"45,559",100,"13,370",29.3,805,1.8,"18,506",40.6,"9,337",20.5,"1,465",3.2,"2,076",4.6
2020,NTA2020,Brooklyn,BK0571,,Highland Park-Cypress Hills Cemeteries (South),,7,7,100,5,71.4,0,,0,,0,,2,28.6,0,
2020,NTA2020,Brooklyn,BK0601,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,,0,"59,166",100,"12,042",20.4,"32,342",54.7,"7,280",12.3,"3,924",6.6,549,0.9,"3,029",5.1
2020,NTA2020,Brooklyn,BK0602,,Park Slope,,0,"57,405",100,"6,701",11.7,"38,668",67.4,"3,363",5.9,"4,641",8.1,481,0.8,"3,551",6.2
2020,NTA2020,Brooklyn,BK0701,,Windsor Terrace-South Slope,,0,"23,622",100,"3,430",14.5,"15,463",65.5,876,3.7,"2,200",9.3,242,1,"1,411",6
2020,NTA2020,Brooklyn,BK0702,,Sunset Park (West),,0,"54,473",100,"30,638",56.2,"12,073",22.2,"2,740",5,"7,139",13.1,597,1.1,"1,286",2.4
2020,NTA2020,Brooklyn,BK0703,,Sunset Park (Central),,0,"55,606",100,"18,226",32.8,"4,509",8.1,610,1.1,"31,444",56.5,280,0.5,537,1
2020,NTA2020,Brooklyn,BK0771,,Green-Wood Cemetery,,7,5,100,2,40,0,,0,,2,40,0,,1,20
2020,NTA2020,Brooklyn,BK0801,,Prospect Heights,,0,"23,515",100,"2,445",10.4,"12,672",53.9,"4,520",19.2,"2,041",8.7,284,1.2,"1,553",6.6
2020,NTA2020,Brooklyn,BK0802,,Crown Heights (North),,0,"85,275",100,"11,732",13.8,"18,774",22,"45,217",53,"3,461",4.1,"1,174",1.4,"4,917",5.8
2020,NTA2020,Brooklyn,BK0891,,Lincoln Terrace Park,,9,15,100,7,46.7,3,20,3,20,0,,2,13.3,0,
2020,NTA2020,Brooklyn,BK0901,,Crown Heights (South),,0,"50,590",100,"4,997",9.9,"16,111",31.8,"24,907",49.2,931,1.8,"1,338",2.6,"2,306",4.6
2020,NTA2020,Brooklyn,BK0902,,Prospect Lefferts Gardens-Wingate,,0,"49,513",100,"5,266",10.6,"12,050",24.3,"26,859",54.2,"1,610",3.3,918,1.9,"2,810",5.7
